Date,Total Locations,Total mg THC,Total mg CBD,Total Smoking oz
2026-01-02,738,443253720,0,151657.618
2026-01-09,740,366346846,145,130574.993
2026-01-16,742,403650697,509,138653.537
2026-01-23,744,421136092,145,140119.560
2026-01-30,742,412543788,145,143037.074
2026-02-06,741,429085784,435,147656.455
2026-02-13,741,405809330,398,142678.638
2026-02-20,741,431640479,0,142121.949
2026-02-27,742,446153927,0,145900.467
2026-03-06,742,439866360,915,148055.573
2026-03-13,745,428529633,2910,146115.832
2026-03-20,747,443238733,1405,149331.219
