Week Ending,Total Operators,Total Locations,Total mg THC,Total mg CBD,Total Smoking (oz),Avg Locations/Operator,Avg mg THC/Operator
2026-01-02,24,705,436986331,0,148542.16,29.4,18207764
2026-01-09,24,707,359357942,145,127423.87,29.5,14973248
2026-01-16,24,709,396311542,509,135264.79,29.5,16512981
2026-01-23,24,711,414509528,145,136806.2,29.6,17271230
2026-01-30,24,709,405773309,145,139858.78,29.5,16907221
2026-02-06,24,708,421433847,435,144093.98,29.5,17559744
2026-02-13,24,708,399271041,398,139189.08,29.5,16636293
2026-02-20,24,708,424946493,0,138526.99,29.5,17706104
2026-02-27,24,709,439214108,0,142494.43,29.5,18300588
2026-03-06,24,709,431203875,915,144366.99,29.5,17966828
2026-03-13,24,712,421169931,2910,142892.87,29.7,17548747
2026-03-20,24,714,435509253,1405,146152.24,29.8,18146219
